OF_ID,createTime,updateTime,finishTime,Location_ST,Location_City,Location_State,Location_StateFIPS,Location_Zip,x,y,marketname,Market_Website,Market_Facebook,Market_Twitter,season1_date,season1_time,season1_notes,season1_products,season2_date,season2_time,season2_notes,season2_products,season3_date,season3_time,season3_notes,season3_products,season4_date,season4_time,season4_notes,season4_products,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,ActivityList,Activity_1,Activity_2,Activity_3,Activity_4,Activity_5,Activity_6,Activity_7,Activity_8,Activity_9,Activity_10,Activity_11,FacilitiesList,Facilities_1,Facilities_2,Facilities_3,Facilities_4,Facilities_5,Payment_2,Payment_3,Payment_4,Payment_1
4017711,6/30/2015 9:12,6/30/2015 9:37,6/30/2015 9:37,838 H. Wallace Ln.,Rockwall,Texas,48,75032,-96.436831,32.875836,A Touch of Earth Gardens,,https://www.facebook.com/pages/A-Touch-of-Earth-Gardens/204045213012249?pnref=lhc,,05/01/2015 to 10/15/2015,Sat: 8:00 AM - 2:00 PM;,On call via phone and Facebook at all times,Baked goods; Canned or preserved food; Crafts and/or woodworking items; Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey; sorgum syrup;,10/17/2015 to 05/14/2016,,We take phone and facebook orders for winter crops only,Baked goods; Canned or preserved food; Fresh vegetables;,,,,,,,,,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides; ,0,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,1,1,0,1,1
4001389,,9/16/2014 11:39,9/16/2014 11:39,402 S Neilson Ave,Pueblo,Colorado,8,81001,-104.5579487,38.2639407,A Wren's Nest Farm,http://awrensnest.com/nest/,https://www.facebook.com/AWrensNestFarm,,6/1/2014,,,Bedding plants; Canned or preserved food; Soap;,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0
4017553,11/8/2014 20:10,3/19/2015 15:39,3/19/2015 15:39,13433 Ocean Gateway (US Route 50),Wye Mills,Maryland,24,21679,-76.06236,38.936137,A. H. Herb'n Craft Farm,,,,01/01/2014 to 12/31/2014,Mon: 10:00 AM - 7:00 PM;Wed: 10:00 AM - 7:00 PM;Thu: 10:00 AM - 7:00 PM;Fri: 10:00 AM - 7:00 PM;Sat: 10:00 AM - 7:00 PM;Sun: 10:00 AM - 7:00 PM;,For winter hours open till dark.  Closed on Tuesdays to make deliveries to stores.,"Bedding plants; Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey; Nursery stock; Nuts; Poultry products; Soap; Wild harvested forest products; squabs, free range chicken, natural cleaning, healing products, wreaths, topiaries, gifts;",,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4014408,,9/16/2014 12:33,9/16/2014 12:33,6405 109th Avenue,South Haven,Michigan,26,49090,-86.169217,42.483804,A.W. Overhiser Orchards,www.overhiserorchards.com,www.facebook.com/OverhiserOrchards,,,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 5:00 PM;Sun: 10:00 AM - 5:00 PM;,"Any other times are available by appointment, call to schedule your trip out.",Baked goods; Canned or preserved food; Coffee and/or tea; Cut flowers; Eggs; Fresh fruits; Fresh vegetables; Honey; Juices; Maple products; Nuts; Poultry products; Soap;,,,,,,,,,,,,,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,Celebrations/ corporate events; Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides; Corn maze; Petting zoo; ,1,1,0,1,1,0,0,1,1,1,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,1,0
4014446,,4/20/2015 15:54,4/20/2015 15:54,3275 Cold Springs Road,Baldwinsville,New York,36,13027,-76.281483,43.144523,Abbott Farms,abbottfarms.com,abbottfarmsny,,01/01/2015 to 12/31/2015,,"Hours vary by season, website and facebook",Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Maple products; Nuts; Prepared foods; Non-poultry meat; Soap; Mulch;,,,,,,,,,,,,,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); ",1,1,1,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,0,1,0
4014534,,7/27/2014 9:01,,3960 SE 115th Street,Belleview,Florida,12,34420,-82.081751,29.053356,Abshier Blueberry Farm,Www.abshierblueberryfarm.com,www.facebook.com/pages/Abshier-Blueberry-Farm/295455157137236pages/Abshier-Blueberry-Farm/295455157137236,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4022355,5/4/2018 15:59,5/4/2018 16:10,5/4/2018 16:10,1211 W. Terrace Dr,Plant City,Florida,12,33563,-82.134727,28.039427,Abundant Gardens,https://www.abundantgardens.net/,https://www.facebook.com/AbundantGardensPlantCity/,,01/01/2018 to 12/31/2018,Wed: 9:00 AM - 5:00 PM;Thu: 9:00 AM - 5:00 PM;Fri: 9:00 AM - 5:00 PM;Sat: 9:00 AM - 5:00 PM;,,"Bedding plants; Canned or preserved food; Coffee and/or tea; Crafts and/or woodworking items; Nursery stock; Culinary Herbs, Vegetable Plants, Fruit Trees;",,,,,,,,,,,,,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Celebrations/ corporate events; Educational tours/ classes; ,1,1,0,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,0
4017407,9/8/2014 19:03,9/23/2014 14:21,,1146 NE Madison Rd,Poulsbo,Washington,53,,-122.6354219,47.6661676,Abundantly Green,http://www.abundantlygreen.com/,https://www.facebook.com/Abundantly.Green?ref=br_tf,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4017168,8/7/2014 13:26,3/31/2015 15:05,3/31/2015 15:05,3400 Bryan Point Road,Accokeek,Maryland,24,20607,-77.06018,38.691496,Accokeek Foundation - Ecosystem Farm Market,www.accokeekfoundation.org,www.facebook.com/accokeekfoundation,twitter.com/Accokeek,05/02/2015 to 11/28/2015,Sat: 10:00 AM - 3:00 PM;,,Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides;  Other: Food for Thought Festival, September 26;",0,1,0,1,1,0,0,1,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,1
4017445,9/15/2014 7:54,9/15/2014 8:59,9/15/2014 8:59,310 Kunkle Rd,Kittanning borough,Pennsylvania,42,16201,-79.379299,40.774383,Acorn Hollow Farm,www.acornhollowfarm.com,Acorn Hollow Farm,,05/15/2015 to 10/04/2015,Fri: 5:00 PM - 8:00 PM;Sat: 2:00 PM - 8:00 PM;,,Cut flowers; Fresh fruits; Fresh vegetables;,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1
4001438,,3/23/2015 13:02,3/23/2015 13:02,186 leonard street,Acushnet,Massachusetts,25,2743,-70.900827,41.7201499,Acushnet Farmers Market,www.acushnetfarmersmarket.com,https://www.facebook.com/pages/Acushnet Farmers Market,Acushnetfarmmarket@eventsonthefarm,06/06/2015 to 09/26/2015,Sat: 9:00 AM - 1:00 PM;,,Baked goods; Bedding plants; Canned or preserved food; Coffee and/or tea; Cut flowers; Dairy products; Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey; Poultry products; Prepared foods; Non-poultry meat; Soap; Wine;,,,,,,,,,,,,,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,Celebrations/ corporate events; Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation;  Other: Picture Yourself at a Cranberry Harvest;,1,1,0,1,1,0,0,0,0,0,0,Hand washing station(s); ,1,0,0,0,0,1,1,1,0
4016855,,11/8/2014 23:12,11/8/2014 23:12,15 Higley Hill,Wilmington,Vermont,50,5363,-72.849808,42.90485,Adams Farm and Meat Processing Shop,http://adamsfamilyfarm.com,https://www.facebook.com/pages/Adams-Farm-Wilmington-Vermont/69664848032,,01/01/2014 to 12/31/2014,,WE ARE OPEN 7 DAYS A WEEK WE SELL LIVESTOCK GRAIN ALSO,Canned or preserved food; Coffee and/or tea; Eggs; Grains and/or flour; Maple products; Pet food; Poultry products; Non-poultry meat; Soap; MISC GIFTS;,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,"Celebrations/ corporate events; Educational tours/ classes; Hay rides; Petting zoo; Pony rides;  Other: FARM RAISED MEATS, EGGS AND POULTRY. ALL ARE STATE INSPECTED;",1,1,0,0,0,0,0,1,0,1,1,Flush toilets; Picnic areas without tables; Picnic areas with tables; ,0,1,1,1,0,1,1,1,0
4012589,,7/27/2014 6:37,7/27/2014 6:37,69676 Cr376 (40th Ave),Hartford,Michigan,26,49057,-86.220746,42.257492,Adams Farms,www.facebook.com/Adams.Blueberry.Farms,https://www.facebook.com/Adams.Blueberry.Farms,,07/04/2014 to 09/01/2014,Mon: 8:00 AM - 6:00 PM;Tue: 8:00 AM - 6:00 PM;Wed: 8:00 AM - 6:00 PM;Thu: 8:00 AM - 6:00 PM;Fri: 8:00 AM - 6:00 PM;Sat: 8:00 AM - 6:00 PM;Sun: 8:00 AM - 6:00 PM;,Open all year for Maple Syrup,Fresh fruits; Maple products;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,0,0
4001437,,1/16/2017 21:51,1/16/2017 21:51,6373 W. US RT 36,Covington,Ohio,39,45318,-84.324411,40.127688,Adams Greenhouse & Produce LLC,www.adamsgreenhouse.com,https://www.facebook.com/adamsgreenhouse,,01/01/2017 to 12/31/2017,Mon: 9:00 AM - 5:00 PM;Tue: 9:00 AM - 5:00 PM;Wed: 9:00 AM - 5:00 PM;Thu: 9:00 AM - 5:00 PM;Fri: 9:00 AM - 5:00 PM;Sat: 9:00 AM - 2:00 PM;,Closed on Sunday,"Baked goods; Bedding plants; Canned or preserved food; Coffee and/or tea; Cut flowers; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Maple products; Mushrooms; Nuts; Poultry products; Prepared foods; Non-poultry meat; Soap; grassfed bison, grassfed pork, grassfed lamb, grassfed goat, grass fed poultry, organic baking supplies organic spices;",,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,Educational tours/ classes; Family/ youth activities;  ,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
4015135,,3/25/2015 11:19,3/25/2015 11:19,3390 John Adams Road,Willow Spring,North Carolina,37,27592,-78.676316,35.583117,Adams Vineyards,marketing@adamsvineyards.com,https://www.facebook.com/pages/Adams-Vineyard-And-Winery/157209567677328,,01/01/2015 to 12/01/2015,Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 11:00 AM - 6:00 PM;Sun: 2:00 AM - 6:00 PM;,,Canned or preserved food; Wine;,08/15/2014 to 10/15/2014,Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 11:00 AM - 6:00 PM;Sun: 2:00 AM - 6:00 PM;,Call for earlier appointments,Canned or preserved food; Fresh fruits; Wine;,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas with tables; ,0,1,0,1,0,1,1,1,0
4013288,,7/29/2014 11:53,7/29/2014 11:53,85995 Gossler Rd,Eugne,Oregon,41,97405,-122.986537,43.99683,Adkins Blueberry Farm,,https://www.facebook.com/pages/Adkins-Blueberry-Farm/120648141360744?ref_type=bookmark,,06/28/2014 to 08/16/2014,Tue: 8:00 AM - 5:00 PM;Wed: 8:00 AM - 5:00 PM;Thu: 8:00 AM - 5:00 PM;Fri: 8:00 AM - 5:00 PM;Sat: 8:00 AM - 5:00 PM;Sun: 12:00 PM - 4:00 PM;,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celebrations/ corporate events; Family/ youth activities;  Pick Your Own/U-Pick operation;  Other: Story Time;,1,0,0,1,1,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,1,0
4017343,8/28/2014 16:04,8/28/2014 16:08,8/28/2014 16:08,S387 Korthals Ln. ,Chaseburg,Wisconsin,55,45621,-91.1102715,43.7134959,Adoni Arces Family Farm LLC ,,,,01/01/2014 to 12/31/2014,,,Eggs; Fresh fruits; Poultry products; Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4017645,4/4/2015 14:27,4/4/2015 14:39,4/4/2015 14:39,553 Big River Road,Goshen,Virginia,51,24439,-79.505417,38.019411,"Aeyles Farm, LLC",,,,04/30/2015 to 09/30/2015,Sun: 10:00 AM - 2:00 PM;,otherwise by appointment,Cut flowers; Dry beans; Eggs; Herbs; Fresh fruits; Fresh vegetables; call for available items;,,,,,,,,,,,,,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational tours/ classes;  Other: spend a day on a 19th century farm surrounded by national forest;,0,1,0,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; ,1,1,1,0,0,1,1,0,0
4014549,,7/27/2014 22:36,7/27/2014 22:36,3261 Endsley Road,Brooksville,Florida,12,34604,-82.387655,28.481463,Al and MLiss Grissom,,,,01/01/2014 to 12/31/2014,Mon: 6:00 AM - 11:00 PM;Tue: 6:00 AM - 11:00 PM;Wed: 6:00 AM - 11:00 PM;Thu: 6:00 AM - 11:00 PM;Fri: 6:00 AM - 11:00 PM;Sat: 6:00 AM - 11:00 PM;Sun: 6:00 AM - 11:00 PM;,Actually open 24 X 7 always self service.,Honey;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4017171,8/7/2014 19:54,8/7/2014 20:06,8/7/2014 20:06,1628 Alna Road,Alna,Maine,23,4535,-69.6152679,44.1032357,Albee Farming,,,,05/18/2014 to 10/31/2014,Mon: 9:00 AM - 7:00 PM;Tue: 9:00 AM - 7:00 PM;Wed: 9:00 AM - 7:00 PM;Thu: 9:00 AM - 7:00 PM;Fri: 9:00 AM - 7:00 PM;Sat: 9:00 AM - 7:00 PM;Sun: 9:00 AM - 7:00 PM;,,Cut flowers; Fresh fruits; Fresh vegetables;,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4016878,,8/28/2014 21:43,8/28/2014 21:43,83 Old Ocean House Rd,Cape Elizabeth,Maine,23,4107,-70.218065,43.584075,Alewive's Brook Farm,www.alewivesbrookfarm.com,,,01/01/2014 to 12/31/2014,Mon: 9:00 AM - ;Tue: 9:00 AM - ;Wed: 9:00 AM - ;Thu: 9:00 AM - ;Fri: 9:00 AM - ;Sat: 9:00 AM - ;Sun: 9:00 AM - ;,,Canned or preserved food; Cut flowers; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour;,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
